,Image_id,Label,Class,ImageCount,CountInt,ElytraColor,SpotColor,ElytraFloat,SpotFloat
120,im-121,1,Harmonia axyridis,4,1-4,Black,Red,0,1
121,im-122,1,Harmonia axyridis,4,1-4,Black,Red,0,1
122,im-123,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
123,im-124,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
124,im-125,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
125,im-126,1,Harmonia axyridis,15,8+,Orange,Black,2,0
126,im-127,0,Coccinella septempunctata,6,5-7,Orange,Black,2,0
127,im-128,1,Harmonia axyridis,4,1-4,Black,Red,0,1
128,im-129,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
129,im-130,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
130,im-131,1,Harmonia axyridis,15,8+,Red,Black,1,0
131,im-132,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
132,im-133,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
133,im-134,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
134,im-135,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
135,im-136,1,Harmonia axyridis,1,1-4,Orange,Black,2,0
136,im-137,1,Harmonia axyridis,14,8+,Orange,Black,2,0
137,im-138,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
138,im-139,1,Harmonia axyridis,17,8+,Red,Black,1,0
139,im-140,0,Coccinella septempunctata,5,5-7,Orange,Black,2,0
140,im-141,1,Harmonia axyridis,18,8+,Red,Black,1,0
141,im-142,0,Coccinella septempunctata,5,5-7,Orange,Black,2,0
142,im-143,1,Harmonia axyridis,15,8+,Orange,Black,2,0
143,im-144,1,Harmonia axyridis,18,8+,Yellow,Black,3,0
144,im-145,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
145,im-146,1,Harmonia axyridis,4,1-4,Black,Red,0,1
146,im-147,1,Harmonia axyridis,15,8+,Red,Black,1,0
147,im-148,1,Harmonia axyridis,13,8+,Yellow,Black,3,0
148,im-149,1,Harmonia axyridis,12,8+,Red,Black,1,0
149,im-150,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
150,im-151,1,Harmonia axyridis,2,1-4,Black,Yellow,0,3
151,im-152,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
152,im-153,1,Harmonia axyridis,16,8+,Yellow,Black,3,0
153,im-154,1,Harmonia axyridis,15,8+,Orange,Black,2,0
154,im-155,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
155,im-156,1,Harmonia axyridis,4,1-4,Black,Red,0,1
156,im-157,0,Coccinella septempunctata,6,5-7,Orange,Black,2,0
157,im-158,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
158,im-159,1,Harmonia axyridis,14,8+,Red,Black,1,0
159,im-160,1,Harmonia axyridis,15,8+,Orange,Black,2,0
160,im-161,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
161,im-162,1,Harmonia axyridis,18,8+,Red,Black,1,0
162,im-163,1,Harmonia axyridis,16,8+,Orange,Black,2,0
163,im-164,1,Harmonia axyridis,16,8+,Red,Black,1,0
164,im-165,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
165,im-166,1,Harmonia axyridis,4,1-4,Black,Orange,0,2
166,im-167,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
167,im-168,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
168,im-169,0,Coccinella septempunctata,6,5-7,Orange,Black,2,0
169,im-170,1,Harmonia axyridis,16,8+,Orange,Black,2,0
170,im-171,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
171,im-172,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
172,im-173,1,Harmonia axyridis,14,8+,Yellow,Black,3,0
173,im-174,1,Harmonia axyridis,18,8+,Orange,Black,2,0
174,im-175,0,Coccinella septempunctata,5,5-7,Orange,Black,2,0
175,im-176,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
176,im-177,1,Harmonia axyridis,16,8+,Yellow,Black,3,0
177,im-178,1,Harmonia axyridis,7,5-7,Orange,Black,2,0
178,im-179,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
179,im-180,1,Harmonia axyridis,13,8+,Red,Black,1,0
180,im-181,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
181,im-182,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
182,im-183,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
183,im-184,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
184,im-185,1,Harmonia axyridis,16,8+,Orange,Black,2,0
185,im-186,1,Harmonia axyridis,17,8+,Orange,Black,2,0
186,im-187,1,Harmonia axyridis,13,8+,Orange,Black,2,0
187,im-188,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
188,im-189,0,Coccinella septempunctata,7,5-7,Orange,Black,2,0
189,im-190,1,Harmonia axyridis,16,8+,Red,Black,1,0
190,im-191,0,Coccinella septempunctata,5,5-7,Orange,Black,2,0
191,im-192,0,Coccinella septempunctata,6,5-7,Red,Black,1,0
192,im-193,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
193,im-194,0,Coccinella septempunctata,6,5-7,Orange,Black,2,0
194,im-195,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
195,im-196,0,Coccinella septempunctata,7,5-7,Red,Black,1,0
196,im-197,1,Harmonia axyridis,3,1-4,Black,Red,0,1
197,im-198,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
198,im-199,1,Harmonia axyridis,4,1-4,Black,Orange,0,2
199,im-200,0,Coccinella septempunctata,5,5-7,Red,Black,1,0
